token;value;level;isMultiplier
ноль;0;1;0
один;1;1;0
два;2;1;0
три;3;1;0
четыре;4;1;0
пять;5;1;0
шесть;6;1;0
семь;7;1;0
восемь;8;1;0
девять;9;1;0
десять;10;1;0
одиннадцать;11;1;0
двенадцать;12;1;0
тринадцать;13;1;0
четырнадцать;14;1;0
пятнадцать;15;1;0
шестнадцать;16;1;0
семнадцать;17;1;0
восемнадцать;18;1;0
девятнадцать;19;1;0
двадцать;20;2;0
тридцать;30;2;0
сорок;40;2;0
пятьдесят;50;2;0
шестьдесят;60;2;0
семьдесят;70;2;0
восемьдесят;80;2;0
девяносто;90;2;0
сто;100;3;0
двести;200;3;0
триста;300;3;0
четыреста;400;3;0
пятьсот;500;3;0
шестьсот;600;3;0
семьсот;700;3;0
восемьсот;800;3;0
девятьсот;900;3;0
тысяча;1000;4;1
миллион;1000000;5;1
миллиард;1000000000;6;1
дюжина;12;1;1
полтос;50;1;1
полтинник;50;1;1
сотка;100;3;1
стольник;100;3;1
тыща;1000;4;1
косарь;1000;4;1
лям;1000000;5;1
лимон;1000000;5;1
нуль;0;1;0
один;1;1;0
два;2;1;0
три;3;1;0
чотири;4;1;0
п'ять;5;1;0
шість;6;1;0
сім;7;1;0
вісім;8;1;0
дев'ять;9;1;0
десять;10;1;0
одинадцять;11;1;0
дванадцять;12;1;0
тринадцять;13;1;0
чотирнадцять;14;1;0
п’ятнадцять;15;1;0
шістнадцять;16;1;0
сімнадцять;17;1;0
вісімнадцять;18;1;0
дев'ятнадцять;19;1;0
двадцять;20;2;0
тридцять;30;2;0
чотирьохдесят;40;2;0
п’ятдесят;50;2;0
шістдесят;60;2;0
сімдесят;70;2;0
вісімдесят;80;2;0
дев'яносто;90;2;0
сто;100;3;0
двісті;200;3;0
триста;300;3;0
чотириста;400;3;0
п'ятсот;500;3;0
шість сотень;600;3;0
сімсот;700;3;0
вісімсот;800;3;0
дев'ятсот;900;3;0
тисяча;1000;4;1
мільйон;1000000;5;1
мільярд;1000000000;6;1
zero;0;1;0
one;1;1;0
two;2;1;0
three;3;1;0
four;4;1;0
five;5;1;0
six;6;1;0
seven;7;1;0
eight;8;1;0
nine;9;1;0
ten;10;1;0
eleven;11;1;0
twelve;12;1;0
thirteen;13;1;0
fourteen;14;1;0
fifteen;15;1;0
sixteen;16;1;0
seventeen;17;1;0
eighteen;18;1;0
nineteen;19;1;0
twenty;20;2;0
thirty;30;2;0
fourty;40;2;0
fifty;50;2;0
sixty;60;2;0
seventy;70;2;0
eighty;80;2;0
ninety;90;2;0
hundred;100;3;1
thousand;1000;4;1
k;1000;4;1
grand;1000;4;1
million;1000000;5;1
kk;1000000;5;1
billion;1000000000;6;1
kkk;1000000000;6;1
dozen;12;1;1
к;1000;4;1
кк;1000000;5;1
ккк;1000000000;6;1
триллион;1E+12;7;1
trillion;1E+12;7;1
трильйон;1E+12;7;1
тыс;1000;4;1
тис;1000;4;1
млн;1000000;5;1
mil;1000000;5;1
ста;100;3;0
